TOKEN;Avg. SHAP;Avg. C-SHAP (P+C)
strengthened;0,323008513;0,323008513
rose;0,263572386;0,263556974
increased;0,184566061;0,178510886
gain;0,175477574;0,175477574
lifted;0,166353529;0,166353529
appreciated;0,167780896;0,164011725
improving;0,152232815;0,152232815
supported;0,151366703;0,151366703
up;0,134126607;0,134126607
strength;0,134751285;0,132725641
recovered;0,124544378;0,124544378
however;0,106186196;0,106186196
accelerated;0,096788849;0,096788849
indexes;0,092968105;0,092968105
supportive;0,088291366;0,088291366
firmed;0,087726206;0,087726206
underpinning;0,08765522;0,08765522
appreciation;0,087132959;0,086906604
increase;0,081097632;0,081097632
eased;0,083558547;0,0810319
provide;0,034692317;0,076959903
boosts;0,112748012;0,076478535
widening;0,051761419;0,07646786
reflect;0,068552527;0,068552527
evidence;0,068223213;0,068223213
considerable;0,066663099;0,066663099
footing;0,066052151;0,066052151
strong;0,066036104;0,066036104
has;0,064525316;0,064525316
firm;0,064141191;0,064141191
offset;0,063044413;0,061827453
bit;0,061478726;0,061478726
better;0,061193508;0,061193508
productivity;0,061092357;0,061092357
positioned;0,060429437;0,060429437
moved;0,055050653;0,059442003
higher;0,057567468;0,057394239
changed;0,056187524;0,056073869
easier;0,054471009;0,054471009
rise;0,05439164;0,05439164
nearly;0,053602494;0,053602494
counterbalanced;0,053243244;0,053243244
expansion;0,05316806;0,05316806
partly;0,052489235;0,052489235
despite;0,051772684;0,051772684
increases;0,050233682;0,050233682
stronger;0,047387557;0,047387557
outflows;0,046714504;0,046714504
significantly;0,046605164;0,046605164
especially;0,046451237;0,046451237
response;0,046179688;0,046179688
indicators;0,038195366;0,044232967
now;0,043410322;0,043410322
generally;0,045479474;0,042742417
substantial;0,039933373;0,039933373
intermeeting;0,038630343;0,039595956
actual;0,039109666;0,039109666
3;0,037961913;0,037961913
accommodation;0,037613896;0,037613896
percent;0,037433884;0,037433884
pound;0,036641295;0,036641295
expectations;0,035953233;0,035953233
continued;0,034975325;0,034975325
substantially;0,034930065;0,034930065
risen;0,034423082;0,034324377
while;0,033573611;0,033573611
had;0,03108614;0,033524615
positive;0,033440225;0,033440225
rising;0,033117779;0,033117779
modestly;0,032426408;0,032426408
slightly;0,031906759;0,031906759
strengthening;0,031547143;0,031547143
reflected;0,031697404;0,031344567
low;0,016684013;0,031237606
noted;0,031024728;0,031024728
during;0,029454918;0,030718242
projected;0,030543644;0,030543644
currencies;0,030198124;0,030198124
increasing;0,036583219;0,029260064
part;0,029189252;0,029189252
intensified;0,029001598;0,029001598
a;0,028017854;0,028272483
eme;0,028229985;0,028229985
including;0,025191038;0,028209839
largely;0,028132462;0,028132462
against;0,028051426;0,028051426
previously;0,027814751;0,027814751
reductions;0,0278013;0,0278013
been;0,027519255;0,027519255
some;0,024106079;0,027138029
further;0,026243019;0,026536142
associated;0,026155092;0,026155092
relatively;0,029318759;0,025905259
accommodative;0,025700644;0,025700644
nominal;0,025510563;0,025510563
outlook;0,026934951;0,025365929
an;0,035075315;0,025228622
vulnerabilities;0,025082298;0,025082298
remains;0,025007107;0,025007107
notably;0,024945726;0,024945726
recovery;0,024848559;0,024848559
money;-0,000852273;0,024549931
primarily;0,024119551;0,024450181
consistent;0,024381516;0,024381516
market;0,018597634;0,023723386
amid;0,023604337;0,023604337
key;0,007576875;0,023333306
somewhat;0,023028521;0,023113039
compared;0,022858001;0,022858001
well;0,013395496;0,022501247
contributed;0,022165299;0,022165299
reflecting;0,02228318;0,02206276
indicating;0,021957914;0,021957914
faster;0,021834009;0,021834009
encourage;0,021788033;0,021788033
capital;0,021684302;0,021684302
over;0,022453968;0,021325334
latter;0,021269596;0,021269596
observed;0,019509352;0,021154809
u;0,021138716;0,021104345
factors;0,020275285;0,020275285
trajectory;0,020135638;0,020135638
inflation;0,020133912;0,020133912
but;0,018882094;0,019967224
elevated;0,019733902;0,019413871
levels;0,019733902;0,019413871
appeared;0,019577047;0,019360366
attributed;0,019026882;0,019026882
favor;0,019393529;0,01902599
changes;0,018989242;0,018989242
only;0,018749014;0,018749014
quarters;0,018584979;0,018584979
between;0,025588451;0,018577721
reduction;0,018395584;0,018395584
abroad;0,018353016;0,018353016
remained;0,018284784;0,018284784
dollar;0,018310516;0,018255255
differentials;0,034472937;0,018035971
result;0,017968178;0,017968178
have;0,017962898;0,017792416
narrowed;0,017422827;0,017422827
growth;0,017434389;0,017401159
restrain;0,017297217;0,017297217
debt;0,005737673;0,017118564
major;0,017018271;0,017018271
lower;0,016319499;0,016431766
oil;0,016137973;0,016137973
global;0,012222551;0,016088867
though;0,016024626;0,016024626
after;0,016013236;0,016013236
to;0,014527694;0,015720131
more;0,015713859;0,015713859
as;0,015244498;0,015664292
range;0,015395699;0,015395699
by;0,015530203;0,015319803
this;0,015265914;0,015265914
considerably;0,015265914;0,015265914
period;0,015684587;0,015157114
through;0,014933926;0,014680372
narrowing;0,014671263;0,014671263
data;0,01452994;0,01452994
advanced;0,014338192;0,014338192
assumed;0,01400382;0,01404581
aggregates;0,013732659;0,013732659
already;0,01350591;0,01350591
earlier;0,007777979;0,013359499
previous;0,01329741;0,01329741
several;0,011016575;0,013099955
economies;0,011804318;0,012876466
related;0,012776316;0,012776316
expected;0,012579109;0,012579109
large;0,012517422;0,012517422
make;0,012517422;0,012517422
indications;0,012431984;0,012431984
still;0,005875078;0,012431403
denominated;0,009739021;0,012384114
level;0,010239545;0,01233223
g;0,012236769;0,012236769
than;0,01219102;0,01219102
s;0,012266613;0,012187327
both;0,012066879;0,012066879
expansionary;0,012061134;0,012061134
sharply;0,012055272;0,012018376
extended;0,014317814;0,011934714
those;0,011859767;0,011859767
countries;0,011857531;0,011857531
industrial;0,011857531;0,011857531
paths;0,011779712;0,011779712
10;0,011692411;0,011692411
path;0,011618395;0,011646388
at;0,018330593;0,011503592
norms;0,01141611;0,01141611
historical;0,01141611;0,01141611
were;0,010271255;0,011207873
little;0,011117703;0,011004048
release;0,010936907;0,010936907
which;0,010887252;0,010887252
terms;0,010751059;0,010751059
commodities;0,008071494;0,010517299
in;0,010680234;0,010361803
participants;0,012013789;0,010301083
longer;0,010497185;0,010086571
for;0,009697816;0,010080408
japanese;0,010012507;0,010012507
conditions;0,009986413;0,009932243
domestic;0,009780058;0,009730423
prices;0,00920583;0,009700038
other;0,009223866;0,0096315
medium;0,009604549;0,009604549
except;0,009603317;0,009603317
recent;0,00968591;0,009587379
along;0,009494722;0,009494722
risky;0,009372427;0,009372427
lending;0,009372427;0,009372427
yen;0,009259427;0,009259427
reform;0,009219826;0,009219826
partially;0,009103331;0,009103331
intervention;0,009090198;0,009090198
purchases;0,009090198;0,009090198
from;0,009000012;0,009000012
are;0,008780959;0,008780959
argentina;0,008736363;0,008736363
even;0,008716098;0,008716098
the;0,008755741;0,008638477
activity;0,008620706;0,008620706
mark;0,008603562;0,008603562
be;0,008586257;0,008586257
actions;0,008464848;0,008464848
less;0,008457454;0,008457454
these;0,008449093;0,008449093
tightening;0,006962813;0,008428431
measures;0,008426559;0,008426559
broader;0,008426559;0,008426559
becoming;0,008397429;0,008397429
restrictive;0,008391813;0,008391813
broad;0,008370786;0,008370786
economic;0,008334375;0,008334375
tax;0,008321186;0,008321186
near;0,008276583;0,008276583
relative;0,00824442;0,00824442
element;0,01254574;0,008243184
years;0,008164243;0,008164243
gdp;0,008244923;0,008107571
larger;0,008009653;0,008009653
states;0,007373574;0,007870026
most;0,007693088;0,007693088
of;0,007333832;0,007620311
rates;0,011403767;0,007592655
interest;0,007252694;0,007563143
with;0,007543179;0,007543179
corporate;0,007422545;0,007422545
dollars;0,007412253;0,007412253
overall;0,007338936;0,007338936
united;0,006934765;0,007307104
that;0,007760881;0,007241959
economy;0,007239499;0,007239499
rate;0,00101369;0,00716213
investor;0,001884158;0,006974796
net;0,006907563;0,006907563
borrowers;0,007381923;0,006745857
