sentiment;TOKENS;SHAP;C-SHAP (P+C)
negative;narrowing ;0,062217976;0,062217976
negative;interest ;0,010544573;0,013518795
negative;rate ;0,016493018;0,013518795
negative;differentials ;0,016636385;0,016636385
negative;between ;0,016065607;0,016065607
negative;the ;0,008972061;0,008972061
negative;united ;0,007072522;0,007072522
negative;states ;0,007072522;0,007072522
negative;and ;0,00973147;0,00973147
negative;other ;-0,006843681;-0,006843681
negative;advanced ;-0,00926994;-0,00926994
negative;foreign ;0,004818639;0,004818639
negative;economies ;0,007277629;0,007277629
negative;also ;0,027616522;0,027616522
negative;contributed ;0,104504072;0,104504072
negative;to ;0,079910907;0,079910907
negative;dollar ;0,045260234;0,045260234
negative;depreciation;0,093819822;0,093819822
negative;as ;0,056655607;0,056655607
negative;some ;0,052905263;0,052905263
negative;foreign ;0,013281964;0,013281964
negative;central ;0,017140387;0,017140387
negative;bank ;1,97052E-05;1,97052E-05
negative;communications ;0,00333835;0,00333835
negative;suggested ;0,017793198;0,017793198
negative;a ;-0,001198043;-0,001198043
negative;need ;0,016798157;0,016798157
negative;for ;0,010881517;0,010881517
negative;further ;0,021044127;0,021044127
negative;monetary ;0,012065962;0,012065962
negative;policy ;0,005332275;0,005332275
negative;tightening ;0,008169301;0,008169301
negative;to ;0,003392911;0,003392911
negative;address ;0,003392911;0,003392911
negative;inflation ;0,012980855;0,012980855
negative;pressures;0,011696766;0,011696766
positive;the ;0,003948897;0,003948897
positive;dollar;0,025454779;0,026967511
positive;s ;0,012090307;0,010853442
positive;strength ;0,202259242;0,202259242
positive;largely ;0,059940234;0,059940234
positive;reflected ;0,016159069;0,015453395
positive;increasing ;0,024084724;0,024790398
positive;investor ;0,001884158;0,006974796
positive;concerns ;-0,013412408;-0,018503046
positive;about ;-0,018805247;-0,022663266
positive;the ;-0,011388901;-0,007530882
positive;global ;0,012222551;0,016088867
positive;growth ;0,018790853;0,019432703
positive;outlook ;0,026559501;0,023421457
positive;as ;0,027899526;0,027052584
positive;well ;0,018600295;0,031671853
positive;as ;0,011720734;0,013915665
positive;widening ;0,051761419;0,07646786
positive;interest ;0,023654868;0,011946663
positive;rate ;-0,00580821;0,011946663
positive;differentials ;0,06677462;0,017884071
positive;between ;0,025588451;0,018577721
positive;the ;0,025588451;0,013350865
positive;united ;0,00689604;0,008385395
positive;states ;0,00689604;0,008385395
positive;and ;0,010469012;0,015912918
positive;japan;-0,008443049;0,002357103
negative;in ;0,010076146;0,010076146
negative;foreign ;0,016620452;0,016620452
negative;exchange ;0,016620452;0,016620452
negative;markets;0,020741686;0,020741686
negative;moderating ;0,031085035;0,031085035
negative;concerns ;0,066065861;0,066065861
negative;about ;0,040327382;0,040327382
negative;the ;0,009283991;0,009283991
negative;potential ;0,011237742;0,011237742
negative;for ;0,002051019;0,002051019
negative;highly ;0,002051019;0,002051019
